id,year,locationName,latitude_eq,longitude_eq,damageAmountOrder,publish,country,regionCode_eq,intensity,deathsAmountOrder,tsunamiEventId,deathsAmountOrderTotal,eqDepth,deaths,housesDestroyedAmountOrder,deathsTotal,damageAmountOrderTotal,housesDestroyedAmountOrderTotal,month,day,volcanoEventId,housesDamagedAmountOrder,injuries,injuriesAmountOrder,injuriesTotal,injuriesAmountOrderTotal,hour,housesDamagedAmountOrderTotal,minute,housesDestroyed,housesDamaged,housesDestroyedTotal,housesDamagedTotal,area,second,damageMillionsDollars,missing,missingAmountOrder,missingTotal,missingAmountOrderTotal,damageMillionsDollarsTotal,magnitude_Mw,MagnitudeSource,earthquakeEventId,oceanicTsunami,maxWaterHeight,regionCode_ts,latitude_ts,longitude_ts,same_region
626,1471,PERU,-16.3,-71.0,,True,PERU,160,9.0,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,None,,0,,,,,False
629,1475,KYRGYZSTAN:  BOLOSAGUN,42.6,75.2,2.0,True,KYRGYZSTAN,40,9.0,,,,5.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,6.4,None,,0,,,,,False
644,1490,UZBEKISTAN:  SAMARKAND,39.4,67.1,3.0,True,UZBEKISTAN,40,8.0,,,,15.0,,,,,,2.0,20.0,,,,,,,,,,,,,,,,,,,,,,5.8,None,,0,,,,,False
677,1511,"BALKANS NW:  SLOVENIA:  IDRIJA,SKOFJA LOKA",46.2,13.433,3.0,True,SLOVENIA,130,10.0,1.0,157.0,1.0,7.0,15.0,3.0,15.0,3.0,3.0,3.0,26.0,,,,,,,14.0,,30.0,,,,,,,,,,,,,6.425000000000001,Ms→Mw,677.0,1,,50.0,46.2,13.433,False
680,1513,PERU,-17.2,-72.3,,True,PERU,160,8.0,,5488.0,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.7,None,680.0,1,,89.0,-17.2,-72.3,False
701,1530,VENEZUELA:  CUMANA,10.5,-64.2,,True,VENEZUELA,90,10.0,,163.0,1.0,10.0,,,4.0,2.0,3.0,9.0,1.0,,,,,,,14.0,,30.0,,,,,,,,,,,,,8.0,Mw,701.0,1,7.3,74.0,10.7,-64.1,False
727,1552,PERU,-16.6,-71.3,,True,PERU,160,9.0,,,,30.0,,,,,,7.0,2.0,,,,,,,10.0,,30.0,,,,,,,,,,,,,7.6,None,,0,,,,,False
730,1555,PERU,-11.9,-77.6,,True,PERU,160,7.0,,,,30.0,,,,,,11.0,15.0,,,,,,,,,,,,,,,,,,,,,,8.4,None,,0,,,,,False
771,1580,UNITED KINGDOM:  DOVER STRAITS,51.019,1.309,2.0,True,UK,120,,2.0,187.0,,33.0,,,,,,4.0,6.0,,,,,,,,,,,,,,,,,,,,,,6.3,ML,771.0,1,,73.0,51.019,1.309,False
773,1581,PERU:  YANAOCA,-14.1,-71.5,2.0,True,PERU,160,10.0,3.0,,3.0,15.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,6.4,None,,0,,,,,False
776,1582,"PERU:  SOCABAYA,AREQUIPA",-16.6,-71.6,3.0,True,PERU,160,10.0,1.0,3681.0,1.0,30.0,35.0,3.0,35.0,3.0,3.0,1.0,22.0,,,,3.0,,3.0,16.0,,30.0,300.0,,300.0,,,,,,,,,,7.564,Ms→Mw,776.0,1,,89.0,-16.6,-71.6,False
777,1582,PERU,-12.2,-77.6,,True,PERU,160,7.0,,,,30.0,,,,,,8.0,15.0,,,,,,,,,,,,,,,,,,,,,,7.8,None,,0,,,,,False
782,1584,PERU,-11.8,-77.8,1.0,True,PERU,160,7.0,,5410.0,,30.0,,,,1.0,,3.0,17.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,7.698,Ms→Mw,782.0,1,,89.0,-11.8,-77.8,False
786,1586,PERU:  LIMA,-12.3,-77.7,3.0,True,PERU,160,10.0,1.0,194.0,1.0,60.0,22.0,3.0,22.0,3.0,3.0,7.0,10.0,,,,,,,0.0,,30.0,,,,,,,,,,,,,8.5,None,786.0,1,26.0,89.0,-12.3,-77.7,False
795,1590,"PERU:  CUSCO, CAMANA",-17.2,-72.9,1.0,True,PERU,160,7.0,1.0,198.0,1.0,40.0,,1.0,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,7.229000000000001,Ms→Mw,795.0,1,,89.0,-17.2,-72.9,False
814,1600,PERU:  VOLCAN HUAYNAPUTINA,-16.8,-70.9,,True,PERU,160,11.0,,,4.0,20.0,,,1500.0,,,2.0,19.0,4052.0,,,,,,10.0,,,,,,,,,,,,,,,7.9,None,,0,,,,,False
815,1600,PERU:  OMATE,-16.6,-70.8,1.0,True,PERU,160,10.0,,,,20.0,,,,,,2.0,28.0,,,,,,,20.0,,,,,,,,,,,,,,,8.1,None,,0,,,,,False
826,1604,PERU:  AREQUIPA; CHILE: ARICA,-17.88,-70.94,3.0,True,PERU,160,11.0,2.0,212.0,3.0,30.0,100.0,3.0,174.0,3.0,3.0,11.0,24.0,,,,,,,18.0,,30.0,,,,,,,,,,,,,7.765000000000001,Ms→Mw,826.0,1,5.0,89.0,-17.88,-70.94,False
846,1609,PERU,-11.9,-77.4,,True,PERU,160,8.0,,,,40.0,,,,,,10.0,20.0,,,,,,,1.0,,,,,,,,,,,,,,,8.6,None,,0,,,,,False
885,1619,"PERU:  TRUJILLO, PIURA, SANTA",-7.941,-79.038,3.0,True,PERU,160,9.0,3.0,,3.0,40.0,350.0,,350.0,3.0,,2.0,14.0,,,,,,,16.0,,30.0,,,,,,,,,,,,,7.832000000000001,Ms→Mw,,0,,,,,False
891,1620,UZBEKISTAN:  AKHSY,40.9,71.4,3.0,True,UZBEKISTAN,40,9.0,3.0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8,None,,0,,,,,False
913,1628,"BALKANS NW:  SLOVENIA:  KRISKO,BRESTANICA",46.0,15.5,2.0,True,SLOVENIA,130,8.0,,,,6.0,,,,,,6.0,17.0,,,,,,,18.0,,,,,,,,,,,,,,,5.0,None,,0,,,,,False
919,1630,PERU:  LIMA,-12.2,-77.5,2.0,True,PERU,160,7.0,1.0,,1.0,30.0,,,,2.0,,11.0,27.0,,,,,,,16.0,,30.0,,,,,,,,,,,,,8.1,None,,0,,,,,False
945,1640,IRAN:  TABRIZ,38.2,46.3,2.0,True,IRAN,140,7.0,,,,15.0,,,,,,2.0,27.0,,,,,,,,,,,,,,,,,,,,,,5.1,None,,0,,,,,False
983,1652,RUSSIA:  CAUCASUS,42.1,47.7,2.0,True,RUSSIA,40,9.0,1.0,,1.0,10.0,,,,2.0,,6.0,8.0,,,,,,,,,,,,,,,,,,,,,,5.9559999999999995,Ms→Mw,,0,,,,,False
998,1655,"PERU:  LIMA, CALLAO",-12.3,-77.6,2.0,True,PERU,160,10.0,,3680.0,,30.0,,3.0,,2.0,3.0,11.0,13.0,,,,,,,19.0,,45.0,,,,,,,,,,,,,7.229000000000001,Ms→Mw,998.0,1,,89.0,-12.3,-77.6,False
1028,1664,"PERU:  ICA, PISCO",-14.1,-75.8,3.0,True,PERU,160,10.0,3.0,5809.0,3.0,15.0,400.0,3.0,400.0,3.0,3.0,5.0,12.0,,,,,,,9.0,,15.0,,,,,,,,,,,,,7.3,None,1028.0,1,,89.0,-14.1,-75.8,False
1047,1667,AZERBAIJAN:  SHEMAKHA (SAMAXI),40.6,48.6,4.0,True,AZERBAIJAN,40,10.0,4.0,,4.0,12.0,80000.0,4.0,80000.0,4.0,4.0,11.0,,,,,,,,,,,,,,,,,,,,,,,6.693,Ms→Mw,,0,,,,,False
1055,1669,AZERBAIJAN:  SHEMAKHA (SEMACHA),40.6,48.6,3.0,True,AZERBAIJAN,40,9.0,4.0,,,5.0,7000.0,,,,,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,5.7,None,,0,,,,,False
1081,1678,"PERU:  LIMA,SALINAS-HUAURA,LIMA,CALLAO,CHANCAY",-9.0,-79.0,3.0,True,PERU,160,9.0,3.0,325.0,3.0,40.0,,3.0,,3.0,3.0,6.0,18.0,,,,,,,1.0,,45.0,,,,,,,,,,,,,7.698,Ms→Mw,1081.0,1,,89.0,-9.0,-79.0,False
1086,1679,TURKEY; ARMENIA:  DVINA,40.1,44.7,4.0,True,TURKEY,140,,4.0,,,15.0,7600.0,,,,,6.0,4.0,,,,,,,,,,,,,,,,,,,,,,5.9,None,,0,,,,,False
1101,1687,PERU:  LIMA,-13.5,-76.5,3.0,True,PERU,160,10.0,4.0,337.0,4.0,30.0,5000.0,,5000.0,3.0,,10.0,20.0,,,,,,,10.0,,30.0,,,,,,,,,,,,,7.765000000000001,Ms→Mw,1101.0,1,,89.0,-13.5,-76.5,False
1107,1688,RUSSIA:  TERSK,43.7,44.7,2.0,True,RUSSIA,40,7.0,,,,15.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,5.621,Ms→Mw,,0,,,,,False
1117,1689,ECUADOR:  TIXAN,-2.2,-78.9,3.0,True,ECUADOR,160,10.0,,,,5.0,,,,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,6.8,None,,0,,,,,False
1148,1699,BALKANS NW:  SLOVENIA:  LJUBLJANA,45.6,15.3,3.0,True,SLOVENIA,130,8.0,2.0,,,6.0,,,,,,2.0,11.0,,,,,,,,,,,,,,,,,,,,,,5.0,None,,0,,,,,False
1149,1699,PERU:  LIMA,-12.1,-76.6,3.0,True,PERU,160,7.0,,,,40.0,,,,,,7.0,14.0,,,,,,,9.0,,,,,,,,,,,,,,,7.8,None,,0,,,,,False
1174,1707,PERU:  CUZCO,-13.9,-72.1,,True,PERU,160,10.0,3.0,,3.0,10.0,160.0,,160.0,,,9.0,17.0,,,,3.0,,3.0,5.0,,0.0,,,,,,,,,,,,,5.8,None,,0,,,,,False
1196,1716,"CHINA:  S XINJIANG:  AKSU, BALKHASH",41.2,80.3,3.0,True,CHINA,40,9.0,,,,30.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,7.095000000000001,Ms→Mw,,0,,,,,False
1198,1716,PERU:  PUEBLO DE TORATA IN TACNA,-17.2,-71.2,1.0,True,PERU,160,9.0,3.0,,3.0,40.0,,,,,,2.0,6.0,,,,,,,,,,,,,,,,,,,,,,8.8,None,,0,,,,,False
1201,1716,PERU,-13.7,-76.0,,True,PERU,160,10.0,,,,50.0,,,,,,2.0,11.0,,,,,,,1.0,,,,,,,,,,,,,,,8.6,None,,0,,,,,False
